Title,ID
Chick early amniotic fluid component improves heart function and protects against inflammation after myocardial infarction in mice.,36465449
Preventive effects of <i>Mycobacterium tuberculosis</i> DNA vaccines on the mouse model with latent tuberculosis infection.,36860878
"The absence of IL-9 reduces allergic airway inflammation by reducing ILC2, Th2 and mast cells in murine model of asthma.",35524325
Immunotherapeutic Effects of Different Doses of <i>Mycobacterium tuberculosis ag85a/b</i> DNA Vaccine Delivered by Electroporation.,35603155
Repetitive Exposure to Bacteriophage Cocktails against <i>Pseudomonas aeruginosa</i> or <i>Escherichia coli</i> Provokes Marginal Humoral Immunity in Naïve Mice.,36851601
The immune landscape of high-grade brain tumor after treatment with immune checkpoint blockade.,36591276
Chronic Alcohol Ingestion Worsens Survival and Alters Gut Epithelial Apoptosis and CD8+ T Cell Function After Pseudomonas Aeruginosa Pneumonia-Induced Sepsis.,29664837
IgE-activated mast cells enhance TLR4-mediated antigen-specific CD4<sup>+</sup> T cell responses.,33958642
Differential location of NKT and MAIT cells within lymphoid tissue.,35260653
Endophilin A2 deficiency protects rodents from autoimmune arthritis by modulating T cell activation.,33504785
APRIL:TACI axis is dispensable for the immune response to rabies vaccination.,28619678
Immune correlates of tuberculosis disease and risk translate across species.,31996462
CD4+ and CD8+ T cells are both needed to induce paraneoplastic neurological disease in a mouse model.,28344867
Controlling herpetic stromal keratitis by modulating lymphotoxin-alpha-mediated inflammatory pathways.,23850656
CD200 receptor restriction of myeloid cell responses antagonizes antiviral immunity and facilitates cytomegalovirus persistence within mucosal tissue.,25654642
An Epithelial Integrin Regulates the Amplitude of Protective Lung Interferon Responses against Multiple Respiratory Pathogens.,27505057
Nitric oxide modulates TGF-beta-directive signals to suppress Foxp3+ regulatory T cell differentiation and potentiate Th1 development.,21555530
Low 2-dimensional CD4 T cell receptor affinity for myelin sets in motion delayed response kinetics.,22412888
TNF/iNOS-producing dendritic cells are the necessary evil of lethal influenza virus infection.,19279209
The Vaccinia virus complement control protein modulates adaptive immune responses during infection.,21191012
Blockade of CTLA-4 on CD4+CD25+ regulatory T cells abrogates their function in vivo.,16982872
