Title,ID
Monovalent and trivalent VSV-based COVID-19 vaccines elicit neutralizing antibodies and CD8<sup>+</sup> T cells against SARS-CoV-2 variants.,36915805
NKp46<sup>+</sup> natural killer cells develop an activated/memory-like phenotype and contribute to innate immunity against experimental filarial infection.,36238293
Functional consequence of myeloid ferritin heavy chain on acute and chronic effects of rhabdomyolysis-induced kidney injury.,36160140
Amino acid availability acts as a metabolic rheostat to determine the magnitude of ILC2 responses,10.1101/2022.06.22.497162
Regulatory role and mechanisms of myeloid TLR4 in anti-GBM glomerulonephritis.,34568976
CD5 Deficiency Alters Helper T Cell Metabolic Function and Shifts the Systemic Metabolome. ,35327505
Carbon source availability drives nutrient utilization in CD8<sup>+</sup> T cells.,35981545
The GAPDH redox switch safeguards reductive capacity and enables survival of stressed tumour cells.,37024754
Chitosan-Based Nanoparticles for Intracellular Delivery of ISAV Fusion Protein cDNA into Melanoma Cells: A Path to Develop Oncolytic Anticancer Therapies.,32410869
Two-step protocol for regeneration of immunocompetent T cells from mouse pluripotent stem cells.,35402823
CD153/CD30 signaling promotes age-dependent tertiary lymphoid tissue expansion and kidney injury.,34813503
Administration of cardiac mesenchymal cells modulates innate immunity in the acute phase of myocardial infarction in mice.,32901075
Hematopoietic stem and progenitor cells improve survival from sepsis by boosting immunomodulatory cells. ,35166205
Re-purposing the pro-senescence properties of doxorubicin to introduce immunotherapy in breast cancer brain metastasis.,36384097
Empirical modeling of T cell activation predicts interplay of host cytokines and bacterial indole.,28667749
Clumping factor B is an important virulence factor during Staphylococcus aureus skin infection and a promising vaccine target.,31009507
A non-functional neoepitope specific CD8<sup>+</sup> T-cell response induced by tumor derived antigen exposure <i>in vivo</i>.,30723585
Suppressive IL-17A<sup>+</sup>Foxp3<sup>+</sup> and ex-Th17 IL-17A<sup>neg</sup>Foxp3<sup>+</sup> T<sub>reg</sub> cells are a source of tumour-associated T<sub>reg</sub> cells.,28290453
PRDX-1 Supports the Survival and Antitumor Activity of Primary and CAR-Modified NK Cells under Oxidative Stress.,34853030
Genome-wide CRISPR Screens in T Helper Cells Reveal Pervasive Crosstalk between Activation and Differentiation.,30639098
STING Gain-of-Function Disrupts Lymph Node Organogenesis and Innate Lymphoid Cell Development in Mice.,32553167
Peli1 facilitates virus replication and promotes neuroinflammation during West Nile virus infection.,30247157
Role of the inflammasome-related cytokines Il-1 and Il-18 during infection with murine coronavirus.,28895072
Interleukin-27 Is Essential for Type 1 Diabetes Development and Sjögren Syndrome-like Inflammation.,31801074
CpG-ODN Facilitates Effective Intratracheal Immunization and Recall of Memory against Neoantigen-Expressing Alveolar Cells.,29038654
RhoA Drives T-Cell Activation and Encephalitogenic Potential in an Animal Model of Multiple Sclerosis.,29904389
An activated Th17-prone T cell subset involved in chronic graft-versus-host disease sensitive to pharmacological inhibition. ,28614794
Natural Th17 cells are critically regulated by functional medullary thymic microenvironments.,26143957
SIRT2 deficiency modulates macrophage polarization and susceptibility to experimental colitis.,25072851
T/B-cell interactions are more transient in response to weak stimuli in SLE-prone mice.,25209945
Expansion of Bacteriophages Is Linked to Aggravated Intestinal Inflammation and Colitis.,30763538
Etomoxir Actions on Regulatory and Memory T Cells Are Independent of Cpt1a-Mediated Fatty Acid Oxidation.,30043753
MDA5 Is Critical to Host Defense during Infection with Murine Coronavirus.,26423942
Down Modulation of Host Immune Response by Amino Acid Repeats Present in a <i>Trypanosoma cruzi</i> Ribosomal Antigen.,29176965
The Novel Toll-Like Receptor 2 Agonist SUP3 Enhances Antigen Presentation and T Cell Activation by Dendritic Cells.,28270814
Glucocorticoid receptor in T cells mediates protection from autoimmunity in pregnancy.,28049829
Chronic variable stress activates hematopoietic stem cells.,24952646
NPT088 reduces both amyloid-β and tau pathologies in transgenic mice.,29067301
The oxidase activity of vascular adhesion protein-1 (VAP-1) is essential for function.,23885334
Oligodendrocyte ablation triggers central pain independently of innate or adaptive immune responses in mice.,25434649
A Stat6/Pten Axis Links Regulatory T Cells with Adipose Tissue Function.,28877454
