Title,ID
FGF15 Protects Septic Mice by Inhibiting Inflammation and Modulating Treg Responses.,36386580
LAMP2 regulates autophagy in the thymic epithelium and thymic stroma-dependent CD4 T cell development.,35535798
Effective inactivated influenza vaccine for the elderly using a single-stranded RNA-based adjuvant.,34099809
Comparison of murine retroorbital plexus and facial vein blood collection to mitigate animal ethics issues.,33958002
An Epidemic Zika Virus Isolate Drives Enhanced T Follicular Helper Cell and B Cell-Mediated Immunity.,35346966
Alpha-Lipoic Acid Inhibits Spontaneous Diabetes and Autoimmune Recurrence in Non-Obese Diabetic Mice by Enhancing Differentiation of Regulatory T Cells and Showed Potential for Use in Cell Therapies for the Treatment of Type 1 Diabetes. ,35163121
Candida albicans oscillating UME6 expression during intestinal colonization primes systemic Th17 protective immunity.,35584674
Pediococcus pentosaceus CECT 8330 protects DSS-induced colitis and regulates the intestinal microbiota and immune responses in mice.,35033121
β2-adrenergic receptor signaling regulates metabolic pathways critical to myeloid-derived suppressor cell function within the TME.,34706232
Peptides Derived From S and N Proteins of Severe Acute Respiratory Syndrome Coronavirus 2 Induce T Cell Responses: A Proof of Concept for T Cell Vaccines.,34630356
p53 Hinders CRISPR/Cas9-Mediated Targeted Gene Disruption in Memory CD8 T Cells In Vivo.,32887747
Immunotherapy Combined with Metronomic Dosing: An Effective Approach for the Treatment of NSCLC. ,33920884
Whole-Exome Sequencing of Radiation-Induced Thymic Lymphoma in Mouse Models Identifies Notch1 Activation as a Driver of p53 Wild-Type Lymphoma.,34035082
Eosinophil-Mediated Immune Control of Adult Filarial Nematode Infection Can Proceed in the Absence of IL-4 Receptor Signaling.,32571840
Combination of CHEK1/2 inhibition and ionizing radiation results in abscopal tumor response through increased micronuclei formation.,32335582
"The subunits of IL-12, originating from two distinct cells, can functionally synergize to protect against pathogen dissemination in vivo.",34644571
Prophylactic Effects of Bee Venom Phospholipase A2 in Lipopolysaccharide-Induced Pregnancy Loss. ,31336883
Selective targeting of histone modification fails to prevent graft versus host disease after hematopoietic cell transplantation.,30452487
Immunogenicity and Protective Efficacy of an Intranasal Live-attenuated Vaccine Against SARS-CoV-2 in Preclinical Animal Models,10.1101/2021.01.08.425974
IL-4 Receptor α Chain Protects the Kidney Against Tubule-Interstitial Injury Induced by Albumin Overload.,32174845
Low-dose oncolytic adenovirus therapy overcomes tumor-induced immune suppression and sensitizes intracranial gliomas to anti-PD-1 therapy.,32642679
Bone Marrow Plasma Cells Modulate Local Myeloid-Lineage Differentiation via IL-10.,31214168
Sepsis induces long-lasting impairments in CD4+ T-cell responses despite rapid numerical recovery of T-lymphocyte populations.,30730978
Quantitative Difference in PLZF Protein Expression Determines iNKT Lineage Fate and Controls Innate CD8 T Cell Generation.,31141681
Excessive neutrophil levels in the lung underlie the age-associated increase in influenza mortality.,30617300
CD8+ T cell-independent tumor regression induced by Fc-OX40L and therapeutic vaccination in a mouse model of glioma.,24293627
Immunogenicity and protective efficacy of an intranasal live-attenuated vaccine against SARS-CoV-2.,34368648
NLRC3 expression in dendritic cells attenuates CD4<sup>+</sup> T cell response and autoimmunity.,31290162
Adipose tissue-derived free fatty acids initiate myeloid cell accumulation in mouse liver in states of lipid oversupply.,30086648
IL-7 treatment augments and prolongs sepsis-induced expansion of IL-10-producing B lymphocytes and myeloid-derived suppressor cells.,29466409
Cricket paralysis virus internal ribosome entry site-derived RNA promotes conventional vaccine efficacy by enhancing a balanced Th1/Th2 response.,31371226
Batf3 deficiency is not critical for the generation of CD8α⁺ dendritic cells.,25468565
Thymidine Kinase-Negative Herpes Simplex Virus 1 Can Efficiently Establish Persistent Infection in Neural Tissues of Nude Mice. ,27974554
Limited access to antigen drives generation of early B cell memory while restraining the plasmablast response.,34525339
Lambda phage-based vaccine induces antitumor immunity in hepatocellular carcinoma.,28971150
Single-Cell Resolution and Quantitation of Targeted Glucocorticoid Delivery in the Thymus.,30917317
A type 2 cytokine axis for thymus emigration.,28694386
Intrinsic TGF-β signaling promotes age-dependent CD8+ T cell polyfunctionality attrition.,24762437
CD4 T Helper Cells Instruct Lymphopenia-Induced Memory-Like CD8 T Cells for Control of Acute LCMV Infection.,28066432
Development of unique cytotoxic chimeric antigen receptors based on human scFv targeting B7H6.,29040754
CD30 Is Dispensable for T-Cell Responses to Influenza Virus and Lymphocytic Choriomeningitis Virus Clone 13 but Contributes to Age-Associated T-Cell Expansion in Mice.,28993768
Characterization of a murine mixed neuron-glia model and cellular responses to regulatory T cell-derived factors.,29720228
A conserved dendritic-cell regulatory program limits antitumour immunity.,32269339
A non-cell-autonomous role for Pml in the maintenance of leukemia from the niche.,29302031
PIM-2 protein kinase negatively regulates T cell responses in transplantation and tumor immunity.,29781812
TGFβ-activation by dendritic cells drives Th17 induction and intestinal contractility and augments the expulsion of the parasite Trichinella spiralis in mice.,30998782
Mast Cell-Dependent CD8<sup>+</sup> T-cell Recruitment Mediates Immune Surveillance of Intestinal Tumors in Apc<sup>Min/+</sup> Mice.,29382671
Appropriate development of the liver Treg compartment is modulated by the microbiota and requires TGF-β and MyD88.,25177709
Systemic silencing of PHD2 causes reversible immune regulatory dysfunction.,31162141
Transient inhibition of ROR-γt therapeutically limits intestinal inflammation by reducing TH17 cells and preserving group 3 innate lymphoid cells.,26878233
Protection against H5N1 Influenza Virus Induced by Matrix-M Adjuvanted Seasonal Virosomal Vaccine in Mice Requires Both Antibodies and T Cells.,26696245
The thymic medulla is required for Foxp3+ regulatory but not conventional CD4+ thymocyte development.,23530124
"Virus-specific antibodies allow viral replication in the marginal zone, thereby promoting CD8(+) T-cell priming and viral control.",26805453
Polymicrobial Sepsis Diminishes Dendritic Cell Numbers and Function Directly Contributing to Impaired Primary CD8 T Cell Responses In Vivo.,27798171
Regionally compartmentalized resident memory T cells mediate naturally acquired protection against pneumococcal pneumonia.,28513594
"IL-15 superagonist/IL-15RαSushi-Fc fusion complex (IL-15SA/IL-15RαSu-Fc; ALT-803) markedly enhances specific subpopulations of NK and memory CD8+ T cells, and mediates potent anti-tumor activity against murine breast and colon carcinomas.",26910920
Deletion of 5-Lipoxygenase in the Tumor Microenvironment Promotes Lung Cancer Progression and Metastasis through Regulating T Cell Recruitment.,26663781
Effect of receptor binding specificity on the immunogenicity and protective efficacy of influenza virus A H1 vaccines.,25078114
Differential requirement for CCR4 and CCR7 during the development of innate and adaptive αβT cells in the adult thymus.,24990081
Basophil-associated OX40 ligand participates in the initiation of Th2 responses during airway inflammation.,25839234
CD8α dendritic cells drive establishment of HSV-1 latency.,24695322
CXCR3 blockade protects against Listeria monocytogenes infection-induced fetal wastage.,25751061
Subcellular distribution of Lck during CD4 T-cell maturation in the thymic medulla regulates the T-cell activation threshold.,22529380
Effect of bacillus Calmette-Guérin vaccination on CD4+Foxp3+ T cells during acquired immune response to Mycobacterium tuberculosis infection.,26590147
Immune activation caused by vascular oxidation promotes fibrosis and hypertension.,26595812
Absence of CXCL10 aggravates herpes stromal keratitis with reduced primary neutrophil influx in mice.,23720717
Loss of the TGFβ-activating integrin αvβ8 on dendritic cells protects mice from chronic intestinal parasitic infection via control of type 2 immunity.,24098124
Splenic differentiation and emergence of CCR5<sup>+</sup>CXCL9<sup>+</sup>CXCL10<sup>+</sup> monocyte-derived dendritic cells in the brain during cerebral malaria.,27808089
Listeria monocytogenes engineered to activate the Nlrc4 inflammasome are severely attenuated and are poor inducers of protective immunity.,21746921
Endogenous IL-22 plays a dual role in arthritis: regulation of established arthritis via IFN-γ responses.,24676270
Impact of intravenous immunoglobulin on the dopaminergic system and immune response in the acute MPTP mouse model of Parkinson's disease.,23046563
Chronic Trichuris muris Infection in C57BL/6 Mice Causes Significant Changes in Host Microbiota and Metabolome: Effects Reversed by Pathogen Clearance.,25938477
Imaging of the cross-presenting dendritic cell subsets in the skin-draining lymph node.,26755602
ATP binding cassette transporter G1 deletion induces IL-17-dependent dysregulation of pulmonary adaptive immunity.,22539789
"Coregulatory interactions among CD8α dendritic cells, the latency-associated transcript, and programmed death 1 contribute to higher levels of herpes simplex virus 1 latency.",24672046
"Lineage-specific effects of 1,25-dihydroxyvitamin D(3) on the development of effector CD4 T cells.",21047796
Suppression of cell-mediated immunity following recognition of phagosome-confined bacteria.,19730694
Angiotensin II sustains brain inflammation in mice via TGF-beta.,20628203
Arginase I suppresses IL-12/IL-23p40-driven intestinal inflammation during acute schistosomiasis.,20483789
Intratumoral hu14.18-IL-2 (IC) induces local and systemic antitumor effects that involve both activated T and NK cells as well as enhanced IC retention.,22844125
IL-12 suppresses vascular endothelial growth factor receptor 3 expression on tumor vessels by two distinct IFN-gamma-dependent mechanisms.,20061409
Reduced Fas ligand-expressing splenic CD5+ B lymphocytes in severe collagen-induced arthritis.,19706160
Mast cells expedite control of pulmonary murine cytomegalovirus infection by enhancing the recruitment of protective CD8 T cells to the lungs.,24763809
Expanded CD23(+)/CD21(hi) B cells in inflamed lymph nodes are associated with the onset of inflammatory-erosive arthritis in TNF-transgenic mice and are targets of anti-CD20 therapy.,20435928
Mutation of mouse Cyp11a1 promoter caused tissue-specific reduction of gene expression and blunted stress response without affecting reproduction.,18174359
Allergic sensitization through the airway primes Th17-dependent neutrophilia and airway hyperresponsiveness.,19661246
