Title,ID
Mesenchymal stem cells protect against sepsis-associated acute kidney injury by inducing Gal-9/Tim-3 to remodel immune homeostasis.,36883358
A protocol to isolate bone marrow innate lymphoid cells for alymphoid mouse reconstitution.,35830307
Mucosal TLR2-activating protein-based vaccination induces potent pulmonary immunity and protection against SARS-CoV-2 in mice.,36379950
A Novel CTLA-4 affinity peptide for cancer immunotherapy by increasing the integrin αvβ3 targeting.,36195696
Mucosal TLR2-activating protein-based vaccination induces potent pulmonary immunity and protection against SARS-CoV-2 in mice,10.21203/rs.3.rs-1179181/v1
ECM Depletion Is Required to Improve the Intratumoral Uptake of Iron Oxide Nanoparticles in Poorly Perfused Hepatocellular Carcinoma.,35273916
A pan-variant mRNA-LNP T cell vaccine protects HLA transgenic mice from mortality after infection with SARS-CoV-2 Beta,10.1101/2022.09.23.509206
Monovalent and trivalent VSV-based COVID-19 vaccines elicit potent neutralizing antibodies and immunodominant CD8+ T cells against diverse SARS-CoV-2 variants,10.1101/2022.07.19.500626
FGF15 Protects Septic Mice by Inhibiting Inflammation and Modulating Treg Responses.,36386580
"LTα, TNF, and ILC3 in Peyer's Patch Organogenesis.",35741098
Monovalent and trivalent VSV-based COVID-19 vaccines elicit neutralizing antibodies and CD8<sup>+</sup> T cells against SARS-CoV-2 variants.,36915805
Follicular helper T cells recruit eosinophils into host liver by producing CXCL12 during Schistosoma japonicum infection.,31912645
LAMP2 regulates autophagy in the thymic epithelium and thymic stroma-dependent CD4 T cell development.,35535798
Effective inactivated influenza vaccine for the elderly using a single-stranded RNA-based adjuvant.,34099809
NuRD complex recruitment to Thpok mediates CD4<sup>+</sup> T cell lineage differentiation.,35687698
Bim Deletion Reduces Functional Deficits Following Ischemic Stroke in Association with Modulation of Apoptosis and Inflammation.,35149957
p75NTR/proBDNF Modulates Basal Cell Carcinoma (BCC) Immune Microenvironment via Necroptosis Signaling Pathway.,33604392
Loss of T cell tolerance in the skin following immunopathology is linked to failed restoration of the dermal niche by recruited macrophages.,35584681
Comparison of murine retroorbital plexus and facial vein blood collection to mitigate animal ethics issues.,33958002
Augmenting chemotherapy with low-dose decitabine through an immune-independent mechanism.,36227698
Vaccination with a nanoparticle E7 vaccine can prevent tumor recurrence following surgery in a human papillomavirus head and neck cancer model.,33907631
"Co-Expression of Runx1, Hoxa9, Hlf, and Hoxa7 Confers Multi-Lineage Potential on Hematopoietic Progenitors Derived From Pluripotent Stem Cells.",35573697
Efficient stabilization of therapeutic hepatitis B vaccine components by amino-acid formulation maintains its potential to break immune tolerance.,36714793
"Small Molecule Inhibitors Targeting Nuclear Factor κB Activation Markedly Reduce Expression of Interleukin-2, but Not Interferon-γ, Induced by Phorbol Esters and Calcium Ionophores. ",34884902
Antimetabolite Drugs Exhibit Distinctive Immunomodulatory Mechanisms and Effects on the Intestinal Microbiota in Experimental Autoimmune Uveitis.,35357394
SHP-2 deletion in CD4Cre expressing chondrocyte precursors leads to tumor development with wrist tropism.,34625577
Mast Cell Activation Triggered by Retrovirus Promotes Acute Viral Infection.,35197951
Redox status regulates autophagy in thymic stromal cells and promotes T cell tolerance.,36161925
An Epidemic Zika Virus Isolate Drives Enhanced T Follicular Helper Cell and B Cell-Mediated Immunity.,35346966
Fra-2 Is a Dominant Negative Regulator of Natural Killer Cell Development.,35812461
B1 lymphocytes develop independently of Notch signaling during mouse embryonic development. ,34370006
Targeting TL1A/DR3 Signaling Offers a Therapeutic Advantage to Neutralizing IL13/IL4Rα in Muco-Secretory Fibrotic Disorders.,34305924
Alpha-Lipoic Acid Inhibits Spontaneous Diabetes and Autoimmune Recurrence in Non-Obese Diabetic Mice by Enhancing Differentiation of Regulatory T Cells and Showed Potential for Use in Cell Therapies for the Treatment of Type 1 Diabetes. ,35163121
Candida albicans oscillating UME6 expression during intestinal colonization primes systemic Th17 protective immunity.,35584674
Pediococcus pentosaceus CECT 8330 protects DSS-induced colitis and regulates the intestinal microbiota and immune responses in mice.,35033121
Intrapulmonary Vaccination Induces Long-lasting and Effective Pulmonary Immunity Against Staphylococcus aureus Pneumonia.,33417695
Non-redundant Functions of IL-6 Produced by Macrophages and Dendritic Cells in Allergic Airway Inflammation.,30534125
Profound mycobiome differences between segregated mouse colonies do not influence Th17 responses to a newly introduced gut fungal commensal.,30849443
Discovering Myeloid Cell Heterogeneity in Mandibular Bone - Cell by Cell Analysis.,34658914
